Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 186000  Y 488000
X 158000  Y 524500
X 189298  Y 605500
X 165000  Y 611500
X 169500  Y 614000
X 155500  Y 624000
X 167000  Y 627000
X 172500  Y 632000
X 200000  Y 697000
X 191500  Y 700500
X 198994  Y 703005
X 183000  Y 706000
X 172000  Y 789500
X 196500  Y 815000
X 186500  Y 824500
X 191500  Y 836400
X 175000  Y 840000
X 172000  Y 843500
X 175000  Y 853000
X 175000  Y 870500
X 183000  Y 871300
X 203000  Y 871900
X 223000  Y 870500
X 243000  Y 870500
X 245187  Y 867312
X 233000  Y 866500
X 205500  Y 861000
X 210000  Y 859500
X 227500  Y 857500
X 252000  Y 854000
X 210209  Y 848709
X 206500  Y 844500
X 233000  Y 844000
X 246500  Y 833000
X 230000  Y 833000
X 243000  Y 828500
X 253000  Y 828500
X 213000  Y 816000
X 208000  Y 816000
X 248000  Y 791000
X 231090  Y 777500
X 230000  Y 721500
X 253000  Y 713500
X 243000  Y 711000
X 249000  Y 699000
X 241500  Y 698200
X 235900  Y 696290
X 244000  Y 682000
X 221500  Y 653800
X 221000  Y 650000
X 225000  Y 648000
X 207500  Y 623700
X 249000  Y 623700
X 236225  Y 613725
X 252500  Y 612651
X 242000  Y 527000
X 230000  Y 521500
X 276500  Y 539000
X 282000  Y 598500
X 284500  Y 609125
X 300500  Y 612368
X 268500  Y 614000
X 283000  Y 614000
X 297000  Y 614000
X 300000  Y 633000
X 283500  Y 636500
X 300000  Y 647000
X 256500  Y 648000
X 266500  Y 648000
X 277199  Y 649300
X 287500  Y 653000
X 283540  Y 656959
X 266000  Y 659000
X 263500  Y 668000
X 291000  Y 684500
X 266500  Y 685500
X 286500  Y 693900
X 257000  Y 696500
X 281500  Y 697000
X 305262  Y 698637
X 258500  Y 704500
X 291000  Y 714500
X 304000  Y 715000
X 287825  Y 727700
X 289000  Y 731500
X 303000  Y 735500
X 281500  Y 736000
X 272000  Y 737000
X 284500  Y 738500
X 284125  Y 742300
X 289500  Y 746000
X 284398  Y 749101
X 284000  Y 769500
X 268000  Y 791000
X 296500  Y 808000
X 258500  Y 824000
X 284000  Y 835500
X 294000  Y 842625
X 272000  Y 843500
X 283000  Y 866000
X 303000  Y 866700
X 283000  Y 870000
X 303000  Y 870500
X 323000  Y 870500
X 323000  Y 866000
X 324000  Y 846000
X 312000  Y 840000
X 323000  Y 815700
X 320500  Y 802500
X 328500  Y 796000
X 316500  Y 748000
X 307000  Y 745500
X 324000  Y 743000
X 316500  Y 719000
X 321500  Y 718500
X 312700  Y 718359
X 318200  Y 715500
X 327500  Y 702500
X 319985  Y 702500
X 322729  Y 699870
X 316500  Y 697000
X 308500  Y 696500
X 329346  Y 660346
X 328000  Y 647500
X 319000  Y 647500
X 307000  Y 646500
X 309919  Y 623700
X 316500  Y 612368
X 320000  Y 530500
X 340500  Y 533500
X 345500  Y 606025
X 345500  Y 611625
X 332500  Y 612368
X 348500  Y 614000
X 343000  Y 632000
X 342500  Y 641200
X 343919  Y 645000
X 333500  Y 647500
X 348500  Y 647500
X 339500  Y 648500
X 334000  Y 660000
X 331500  Y 684500
X 341500  Y 693603
X 341922  Y 716877
X 333500  Y 718500
X 337000  Y 727500
X 331000  Y 770500
X 335500  Y 783000
X 333000  Y 790200
X 353500  Y 797500
X 348000  Y 827500
X 355000  Y 830000
X 333000  Y 837200
X 331000  Y 844000
X 352000  Y 846000
X 348000  Y 848500
X 333000  Y 870500
X 365000  Y 880000
X 363500  Y 870500
X 366500  Y 846000
X 370300  Y 844500
X 372849  Y 835650
X 360000  Y 830000
X 373000  Y 791000
X 379500  Y 789000
X 369500  Y 778000
X 378300  Y 777800
X 373500  Y 777000
X 380000  Y 774000
X 358000  Y 755000
X 377000  Y 748800
X 377000  Y 745000
X 372000  Y 744000
X 359500  Y 741000
X 371500  Y 727500
X 358000  Y 723500
X 366500  Y 701400
X 373200  Y 698000
X 377000  Y 698000
X 361500  Y 685000
X 371000  Y 678500
X 364000  Y 663000
X 374199  Y 646800
X 357000  Y 632700
X 364000  Y 632500
X 374000  Y 624000
X 364500  Y 612368
X 367500  Y 534961
X 393000  Y 598500
X 380500  Y 612368
X 385000  Y 632500
X 392000  Y 632500
X 399000  Y 632500
X 401500  Y 678500
X 381500  Y 683500
X 391500  Y 685000
X 394000  Y 706000
X 403500  Y 722500
X 396250  Y 727500
X 392000  Y 735500
X 401500  Y 742500
X 401500  Y 820000
X 400500  Y 823800
X 394700  Y 826700
X 404191  Y 838515
X 402500  Y 843500
X 391000  Y 844500
X 383000  Y 863000
X 383000  Y 868000
X 404500  Y 869000
X 425500  Y 864000
X 424500  Y 855500
X 425000  Y 840000
X 405500  Y 819500
X 423700  Y 790300
X 429000  Y 790000
X 412500  Y 777500
X 415000  Y 726000
X 426500  Y 718000
X 412000  Y 715200
X 415500  Y 684500
X 426500  Y 658500
X 411727  Y 641000
X 419000  Y 631800
X 426500  Y 631800
X 421000  Y 624400
X 412500  Y 614000
X 425000  Y 613400
X 428800  Y 612368
X 423000  Y 605500
X 417000  Y 537500
X 453000  Y 606000
X 444500  Y 614000
X 448000  Y 631800
X 441000  Y 631800
X 433500  Y 631800
X 434500  Y 684500
X 439500  Y 697500
X 440500  Y 701300
X 430500  Y 721000
X 443000  Y 729000
X 447000  Y 735500
X 455000  Y 778500
X 437500  Y 791000
X 452500  Y 793500
X 442000  Y 813500
X 450000  Y 816000
X 450000  Y 826750
X 437500  Y 848500
X 446100  Y 853500
X 467000  Y 868000
X 455500  Y 864000
X 457000  Y 857500
X 479500  Y 846500
X 464500  Y 840000
X 471000  Y 824500
X 475000  Y 823500
X 479500  Y 791000
X 470500  Y 729000
X 470500  Y 725200
X 465500  Y 717000
X 461697  Y 698197
X 476500  Y 693000
X 477966  Y 684579
